,unique_identifier,song_id,song_name,duration_ms,song_url,popularity,date_time_played,album_id,artist_id
31,6VXlueqCdfIRxfVjBTSVF6-1668852681,6VXlueqCdfIRxfVjBTSVF6,Your Name,200172,https://open.spotify.com/track/6VXlueqCdfIRxfVjBTSVF6,54,2022-11-19 10:11:21.836,7riGnO3I0Z2llIBfzREUR3,0FrOnmhn1KtQ2n5mHF2SD6
32,78VvdxcfXAYBhdzuLFFvSK-1668852595,78VvdxcfXAYBhdzuLFFvSK,Kiss It Better,257055,https://open.spotify.com/track/78VvdxcfXAYBhdzuLFFvSK,59,2022-11-19 10:09:55.092,7b3D4oZOXrhYv04WU6yd3m,5ITI6SEoUZMIXXkzCfr4oE
33,576E1IW36EtBWDS0H29V1X-1668852339,576E1IW36EtBWDS0H29V1X,Paradiso,48818,https://open.spotify.com/track/576E1IW36EtBWDS0H29V1X,60,2022-11-19 10:05:39.025,2Nj39YNwq6SDzLBM6gVumD,7gRhy3MIPHQo5CXYfWaw9I
34,2UwgoIMAYT0pDOxUFTjEVJ-1668852148,2UwgoIMAYT0pDOxUFTjEVJ,Chill Like That,178908,https://open.spotify.com/track/2UwgoIMAYT0pDOxUFTjEVJ,72,2022-11-19 10:02:28.972,189CZXjmGJs7PzbQ0S5WVf,0PavAVTZWBEpaj4iJdKCyj
35,4ASOMWcJUrwEpjJy4GEijz-1668851970,4ASOMWcJUrwEpjJy4GEijz,California Dreamin' (feat. High Jinx),196899,https://open.spotify.com/track/4ASOMWcJUrwEpjJy4GEijz,72,2022-11-19 09:59:30.863,4QNJtrJyZlV4CMzvQqPcjW,7tm9Tuc70geXOOyKhtZHIj
36,6JjSoJ2laV4ZbKNb9nybvh-1668851781,6JjSoJ2laV4ZbKNb9nybvh,MAMI,247896,https://open.spotify.com/track/6JjSoJ2laV4ZbKNb9nybvh,64,2022-11-19 09:56:21.499,6fdfCmP6hJg0gqFobszTYB,7tm9Tuc70geXOOyKhtZHIj
37,5PkJ2ssBCzKHaztJVASw2b-1668851416,5PkJ2ssBCzKHaztJVASw2b,Body Pump - Lady Bee Remix,176097,https://open.spotify.com/track/5PkJ2ssBCzKHaztJVASw2b,61,2022-11-19 09:50:16.074,3eVVyHEF1waq5kbMFm9pdJ,5ITI6SEoUZMIXXkzCfr4oE
38,4zN21mbAuaD0WqtmaTZZeP-1668851244,4zN21mbAuaD0WqtmaTZZeP,Ferrari,186661,https://open.spotify.com/track/4zN21mbAuaD0WqtmaTZZeP,87,2022-11-19 09:47:24.148,6moZ4sNThthUAwCklyuPY8,43BxCL6t4c73BQnIJtry5v
39,0cBPhFzSCEH9Bdc8N5xqKW-1668851058,0cBPhFzSCEH9Bdc8N5xqKW,Die A Little Bit (Remix),223036,https://open.spotify.com/track/0cBPhFzSCEH9Bdc8N5xqKW,43,2022-11-19 09:44:18.484,5xEl7MGvAzl2FxwVlngE1M,0NIIxcxNHmOoyBx03SfTCD
40,5PkJ2ssBCzKHaztJVASw2b-1668793349,5PkJ2ssBCzKHaztJVASw2b,Body Pump - Lady Bee Remix,176097,https://open.spotify.com/track/5PkJ2ssBCzKHaztJVASw2b,61,2022-11-18 17:42:29.212,3eVVyHEF1waq5kbMFm9pdJ,5ITI6SEoUZMIXXkzCfr4oE
41,4zN21mbAuaD0WqtmaTZZeP-1668793324,4zN21mbAuaD0WqtmaTZZeP,Ferrari,186661,https://open.spotify.com/track/4zN21mbAuaD0WqtmaTZZeP,87,2022-11-18 17:42:04.056,6moZ4sNThthUAwCklyuPY8,43BxCL6t4c73BQnIJtry5v
42,4UzRLcz7EtviJyoTBBof2X-1668792601,4UzRLcz7EtviJyoTBBof2X,Bardo,228764,https://open.spotify.com/track/4UzRLcz7EtviJyoTBBof2X,30,2022-11-18 17:30:01.022,49UGOt9jizVXfLEuQApZfn,42MgQRvz2CdYiI9u46YJNn
43,4UzRLcz7EtviJyoTBBof2X-1668791825,4UzRLcz7EtviJyoTBBof2X,Bardo,228764,https://open.spotify.com/track/4UzRLcz7EtviJyoTBBof2X,30,2022-11-18 17:17:05.021,49UGOt9jizVXfLEuQApZfn,42MgQRvz2CdYiI9u46YJNn
44,0cBPhFzSCEH9Bdc8N5xqKW-1668790713,0cBPhFzSCEH9Bdc8N5xqKW,Die A Little Bit (Remix),223036,https://open.spotify.com/track/0cBPhFzSCEH9Bdc8N5xqKW,43,2022-11-18 16:58:33.021,5xEl7MGvAzl2FxwVlngE1M,0NIIxcxNHmOoyBx03SfTCD
45,6k5DKQMC96daK6fSvAxdQv-1668782991,6k5DKQMC96daK6fSvAxdQv,Satisfaction,155676,https://open.spotify.com/track/6k5DKQMC96daK6fSvAxdQv,60,2022-11-18 14:49:51.551,62hlQlBO241sKpVTPgwAOi,1Cs0zKBU1kc0i8ypK3B9ai
46,0cBPhFzSCEH9Bdc8N5xqKW-1668781761,0cBPhFzSCEH9Bdc8N5xqKW,Die A Little Bit (Remix),223036,https://open.spotify.com/track/0cBPhFzSCEH9Bdc8N5xqKW,43,2022-11-18 14:29:21.659,5xEl7MGvAzl2FxwVlngE1M,0NIIxcxNHmOoyBx03SfTCD
47,0cBPhFzSCEH9Bdc8N5xqKW-1668781539,0cBPhFzSCEH9Bdc8N5xqKW,Die A Little Bit (Remix),223036,https://open.spotify.com/track/0cBPhFzSCEH9Bdc8N5xqKW,43,2022-11-18 14:25:39.239,5xEl7MGvAzl2FxwVlngE1M,0NIIxcxNHmOoyBx03SfTCD
48,2kpOZP2szJea4TExBH2DJu-1668778023,2kpOZP2szJea4TExBH2DJu,Marching Band,193548,https://open.spotify.com/track/2kpOZP2szJea4TExBH2DJu,56,2022-11-18 13:27:03.562,0dLUc1NOmR5ka8tqnaFYJk,1lmU3giNF3CSbkVSQmLpHQ
49,2UwgoIMAYT0pDOxUFTjEVJ-1668777556,2UwgoIMAYT0pDOxUFTjEVJ,Chill Like That,178908,https://open.spotify.com/track/2UwgoIMAYT0pDOxUFTjEVJ,72,2022-11-18 13:19:16.158,189CZXjmGJs7PzbQ0S5WVf,0PavAVTZWBEpaj4iJdKCyj
